station,daily_avg_exits
EM,15419.941908212555
MT,12869.176200671309
PL,10523.686113463831
CC,8061.563419913419
16,5233.199640033879
24,4991.962290607943
BK,4721.532544387978
12,4430.176834337161
19,4150.29770609825
DC,4041.9029910910353
BP,3627.0591677646025
FV,3531.9262814480203
EN,3470.3572910784865
MA,3355.709773982057
SO,3237.432382834557
OW,2970.1819734613205
SL,2946.8034404605055
GP,2912.7092548152323
LM,2721.1793415521684
ED,2636.7084792019577
WC,2376.5437017692448
BF,2328.2214426877467
CL,2322.95229625447
CN,2271.3497882552224
RR,2115.8522421419157
PH,2108.3571899115377
RM,2085.1225155279503
HY,1998.0424611017006
EP,1883.425226645335
MB,1822.8237640378945
FM,1812.234417152896
AS,1782.5574283204717
WP,1720.3326918250832
AN,1674.1680657506743
UC,1650.5974402409183
NB,1590.7010383336471
CM,1387.69604429387
LF,1351.867077608382
SB,1301.2801148127235
SS,1266.172859025033
SH,1253.1908212560386
BE,1186.7547924901185
WD,1136.3365926344188
WS,1104.9648237028673
CV,1077.8127548779723
OR,1060.7084901813162
ML,1008.304290576573
OA,609.8532765543636
NC,560.4896739130435
PC,494.2899727084511
